,SP_mirror (beta),SP_mirror (vol),SP_mirror (hybrid),SP_mirror (regime),"SP_mirror (beta, 1bp cost)",Clone,SPY
2016-H2,1.024,0.8638,0.9706,0.9721,1.024,0.7663,1.0
2017-H1,0.9595,0.7679,0.8718,0.972,0.9595,0.7238,1.0
2017-H2,0.9443,0.7462,0.8462,0.9766,0.9443,0.7347,1.0
2018-H1,0.7456,0.5424,0.6625,0.7156,0.7456,0.5198,1.0
2018-H2,0.6866,0.5621,0.6445,0.6183,0.6866,0.449,1.0
2019-H1,0.7172,0.7025,0.7138,0.6316,0.7172,0.4924,1.0
2019-H2,0.7292,0.724,0.7292,0.6645,0.7292,0.5088,1.0
2020-H1,0.8792,0.8738,0.879,0.8716,0.8792,0.7643,1.0
2020-H2,0.9132,0.9035,0.9086,0.9159,0.9132,0.8784,1.0
2021-H1,0.7767,0.7308,0.7551,0.8059,0.7767,0.7169,1.0
2021-H2,0.7509,0.6708,0.7261,0.785,0.7509,0.6004,1.0
2022-H1,0.8806,0.7972,0.8761,0.8324,0.8806,0.6509,1.0
2022-H2,0.9057,0.8421,0.8986,0.8004,0.9057,0.6962,1.0
2023-H1,0.913,0.8463,0.8933,0.7745,0.913,0.6941,1.0
2023-H2,0.9527,0.8608,0.918,0.8318,0.9527,0.7072,1.0
2024-H1,1.0267,0.8863,0.9652,1.0337,1.0267,0.8042,1.0
2024-H2,0.8915,0.7105,0.803,0.9354,0.8915,0.709,1.0
2025-H1,0.8407,0.6879,0.7741,0.848,0.8407,0.6833,1.0
2025-H2,0.8409,0.7477,0.8052,0.8164,0.8409,0.7163,1.0
2026-H1,0.848,0.7691,0.8174,0.8217,0.848,0.7273,1.0
