,0
vol_63d,0.050911285
clone_ret_21d,0.037332557
macro_DXY_PX_LAST,0.035371795
macro_HY_SPREAD_PX_LAST_chg_21d,0.032636434
clone_ret_63d,0.032480497
vol_5d,0.03161451
ewma_var_26,0.03135805
macro_T10Y2Y_PX_LAST_chg_21d,0.030736199
dispersion_63d,0.03018945
macro_MOVE_PX_LAST,0.029923614
macro_IG_SPREAD_PX_LAST_chg_21d,0.028422298
rolling_dd_63d,0.028146844
rolling_dd_21d,0.027972877
dispersion_21d,0.027807504
vol_of_vol_21d,0.02741111
yc_spread_chg_5d,0.027363172
macro_T10Y2Y_PX_LAST,0.0270256
yc_spread,0.026780523
dispersion_5d,0.026475346
macro_MOVE_PX_LAST_chg_21d,0.026301367
spy_vol_63d,0.02607207
vol_21d,0.025591511
macro_DXY_PX_LAST_chg_21d,0.025096362
macro_HY_SPREAD_PX_LAST_chg_5d,0.024465863
macro_IG_SPREAD_PX_LAST,0.024128845
macro_T10Y2Y_PX_LAST_chg_5d,0.023455504
macro_HY_SPREAD_PX_LAST,0.023122998
clone_ret_5d,0.022838967
vol_of_vol_63d,0.022684509
spy_vol_21d,0.022386026
downside_vol_21d,0.022031005
macro_DXY_PX_LAST_chg_5d,0.021687137
relative_vol,0.021637708
ewma_var_12,0.021637082
vol_of_vol_5d,0.02095637
macro_MOVE_PX_LAST_chg_5d,0.020462492
macro_IG_SPREAD_PX_LAST_chg_5d,0.015484589
yc_inverted,0.0
