feature,mean_abs_shap
macro_DXY_PX_LAST,0.57250917
clone_ret_63d,0.5675381
relative_vol,0.38312408
macro_T10Y2Y_PX_LAST_chg_21d,0.33308074
rolling_dd_21d,0.23689045
macro_IG_SPREAD_PX_LAST_chg_21d,0.2219075
vol_21d,0.20547289
clone_ret_21d,0.20108734
macro_DXY_PX_LAST_chg_5d,0.13153724
macro_MOVE_PX_LAST,0.12985623
macro_HY_SPREAD_PX_LAST,0.12865551
dispersion_5d,0.12574622
vol_of_vol_21d,0.119067006
macro_HY_SPREAD_PX_LAST_chg_5d,0.11856515
macro_IG_SPREAD_PX_LAST,0.118184574
vol_5d,0.10788604
clone_ret_5d,0.10384425
vol_of_vol_5d,0.097635396
vol_63d,0.096657716
macro_HY_SPREAD_PX_LAST_chg_21d,0.08554687
macro_MOVE_PX_LAST_chg_5d,0.08160991
macro_T10Y2Y_PX_LAST,0.081476614
macro_MOVE_PX_LAST_chg_21d,0.07498392
downside_vol_21d,0.07084709
macro_T10Y2Y_PX_LAST_chg_5d,0.068597496
macro_IG_SPREAD_PX_LAST_chg_5d,0.06589031
spy_vol_63d,0.06451701
macro_DXY_PX_LAST_chg_21d,0.06414493
spy_vol_21d,0.06262068
ewma_var_26,0.05468866
dispersion_63d,0.052354366
yc_spread_chg_5d,0.04334449
ewma_var_12,0.029372742
dispersion_21d,0.024301322
yc_spread,0.024079366
rolling_dd_63d,0.023934575
vol_of_vol_63d,0.0
yc_inverted,0.0
