,0
macro_DXY_PX_LAST,0.13929723
clone_ret_63d,0.057940837
yc_spread,0.057047598
macro_T10Y2Y_PX_LAST,0.04739186
dispersion_5d,0.035740245
macro_MOVE_PX_LAST,0.03453507
spy_vol_63d,0.032253787
clone_ret_21d,0.030716835
macro_IG_SPREAD_PX_LAST_chg_21d,0.02937038
relative_vol,0.02795004
dispersion_63d,0.027196826
dispersion_21d,0.026463712
macro_IG_SPREAD_PX_LAST,0.025762679
vol_21d,0.025483135
macro_T10Y2Y_PX_LAST_chg_21d,0.025388826
rolling_dd_63d,0.0251077
downside_vol_21d,0.023456817
macro_HY_SPREAD_PX_LAST,0.020950006
spy_vol_21d,0.020462822
macro_T10Y2Y_PX_LAST_chg_5d,0.0199478
ewma_var_12,0.019888071
macro_HY_SPREAD_PX_LAST_chg_21d,0.019514086
vol_63d,0.019507155
vol_5d,0.019122245
vol_of_vol_21d,0.018996324
clone_ret_5d,0.018746253
macro_DXY_PX_LAST_chg_5d,0.018533602
macro_MOVE_PX_LAST_chg_21d,0.017720139
yc_spread_chg_5d,0.017568756
rolling_dd_21d,0.016828496
ewma_var_26,0.01494139
vol_of_vol_5d,0.013874419
macro_IG_SPREAD_PX_LAST_chg_5d,0.0136649795
macro_DXY_PX_LAST_chg_21d,0.013479093
macro_MOVE_PX_LAST_chg_5d,0.013155946
macro_HY_SPREAD_PX_LAST_chg_5d,0.011994875
yc_inverted,0.0
