feature,mean_abs_shap
clone_ret_63d,0.49748576
macro_DXY_PX_LAST,0.48330373
relative_vol,0.4082737
macro_T10Y2Y_PX_LAST_chg_21d,0.28427753
clone_ret_21d,0.2202028
spy_vol_21d,0.21746859
macro_IG_SPREAD_PX_LAST_chg_21d,0.2155268
rolling_dd_21d,0.20612617
vol_21d,0.19290745
macro_DXY_PX_LAST_chg_5d,0.17451748
vol_5d,0.17138341
macro_IG_SPREAD_PX_LAST,0.1591195
macro_MOVE_PX_LAST_chg_21d,0.13042948
clone_ret_5d,0.12521495
dispersion_5d,0.11570122
macro_HY_SPREAD_PX_LAST,0.110617585
macro_MOVE_PX_LAST,0.102636896
vol_of_vol_5d,0.10209868
vol_of_vol_21d,0.09873003
macro_HY_SPREAD_PX_LAST_chg_21d,0.08306897
macro_IG_SPREAD_PX_LAST_chg_5d,0.076575704
ewma_var_26,0.07208088
vol_63d,0.0704562
dispersion_63d,0.06908375
spy_vol_63d,0.06136474
downside_vol_21d,0.050390333
ewma_var_12,0.049888935
macro_DXY_PX_LAST_chg_21d,0.049440883
macro_T10Y2Y_PX_LAST,0.04855328
macro_T10Y2Y_PX_LAST_chg_5d,0.044829004
yc_spread,0.04223448
macro_MOVE_PX_LAST_chg_5d,0.038987108
macro_HY_SPREAD_PX_LAST_chg_5d,0.03520386
rolling_dd_63d,0.026426096
dispersion_21d,0.026040057
yc_spread_chg_5d,0.025100611
yc_inverted,0.0
