,Ann Return (%),Ann Vol (%),Sharpe,Skewness,Kurtosis,Max DD (%),Coverage (%)
CSU,31.1951,25.9626,1.2015,0.2403,4.4785,-56.9689,95.2196
DOL,26.6106,22.967,1.1586,0.1227,13.5496,-43.2422,95.9719
SHOP,56.201,57.2348,0.9819,0.3547,5.093,-79.9735,63.868
WCN,16.3191,20.5325,0.7948,-0.1629,9.9212,-27.4009,95.9719
CLS,31.9848,41.7434,0.7662,-0.1426,12.9926,-77.6521,95.9719
DSG,20.4893,26.8747,0.7624,0.0434,4.9581,-50.9085,95.9719
ATD,20.6156,27.4173,0.7519,0.1275,6.1365,-32.6111,88.6435
SPY (SPY),12.8894,17.2896,0.7455,-0.3357,12.0604,-34.1047,96.3844
KXS,27.3125,36.8438,0.7413,-0.0811,7.1041,-43.4736,69.4249
GIB/A,15.826,22.9773,0.6888,0.7313,12.2636,-39.7798,95.9719
CP,16.6837,24.3997,0.6838,0.0608,8.8722,-36.253,95.9719
CNR,11.577,20.0538,0.5773,-0.2857,6.3186,-29.8996,95.9719
RY,9.2372,17.3882,0.5312,0.2753,22.3408,-36.4294,95.9719
TD,9.4906,18.1667,0.5224,0.3399,31.0841,-39.6653,95.9719
DOO,19.6168,40.7486,0.4814,0.0057,10.9738,-73.6139,75.8068
MG,14.5119,31.496,0.4608,-0.2474,10.1988,-63.4507,95.9719
BMO,8.4242,19.055,0.4421,-0.5739,33.4165,-49.4452,95.9719
AEM,16.4542,38.9322,0.4226,0.053,4.1406,-74.0457,95.9719
QSR,11.1145,26.98,0.412,0.0631,18.333,-60.0365,66.4887
IVN,22.9005,56.9807,0.4019,0.3325,3.1917,-91.2309,79.3497
TRP,8.5522,21.2931,0.4016,-0.324,38.243,-40.7593,95.9719
CCO,16.1732,40.357,0.4008,0.4499,7.3464,-80.494,95.9719
ENB,8.6119,21.6475,0.3978,-0.1273,27.4438,-46.4383,95.9719
OTEX,10.5636,28.0503,0.3766,0.7875,18.3007,-53.4266,95.9719
FTS,6.324,16.89,0.3744,-0.4004,14.9847,-28.2679,95.9719
T,6.0675,17.607,0.3446,-0.8432,21.8691,-45.1461,95.9719
BNS,5.9627,18.3546,0.3249,-0.0777,26.2958,-44.8366,95.9719
CNQ,11.1382,35.8216,0.3109,-0.2311,21.0498,-79.3833,95.9719
TCL/A,9.4676,30.8551,0.3068,0.3355,8.2244,-68.7623,95.9719
ABX,9.8098,37.5965,0.2609,0.0883,3.3226,-85.5811,95.9719
SU,7.6807,32.4139,0.237,0.375,16.1219,-74.8935,95.9719
BCE,1.6191,16.4002,0.0987,-1.1168,19.9753,-58.3893,95.9719
