date,rank,source,target,attention
2019-01-02,1,Asset_0,Asset_12,0.031657
2019-01-02,2,Asset_2,Asset_12,0.031657
2019-01-02,3,Asset_3,Asset_12,0.031657
2019-01-02,4,Asset_4,Asset_12,0.031657
2019-01-02,5,Asset_5,Asset_12,0.031657
2019-01-03,1,Asset_5,Asset_12,0.031378
2019-01-03,2,Asset_6,Asset_12,0.031378
2019-01-03,3,Asset_7,Asset_12,0.031378
2019-01-03,4,Asset_8,Asset_12,0.031378
2019-01-03,5,Asset_9,Asset_12,0.031378
2019-01-04,1,Asset_0,Asset_15,0.031351
2019-01-04,2,Asset_4,Asset_15,0.031351
2019-01-04,3,Asset_6,Asset_15,0.031351
2019-01-04,4,Asset_11,Asset_15,0.031351
2019-01-04,5,Asset_12,Asset_15,0.031351
2019-01-07,1,Asset_2,Asset_15,0.031338
2019-01-07,2,Asset_10,Asset_15,0.031338
2019-01-07,3,Asset_19,Asset_15,0.031338
2019-01-07,4,Asset_23,Asset_15,0.031338
2019-01-07,5,Asset_26,Asset_15,0.031338
2019-01-08,1,Asset_0,Asset_15,0.03135
2019-01-08,2,Asset_1,Asset_15,0.03135
2019-01-08,3,Asset_2,Asset_15,0.03135
2019-01-08,4,Asset_3,Asset_15,0.03135
2019-01-08,5,Asset_4,Asset_15,0.03135
2019-01-09,1,Asset_1,Asset_16,0.031333
2019-01-09,2,Asset_8,Asset_16,0.031333
2019-01-09,3,Asset_12,Asset_15,0.031333
2019-01-09,4,Asset_15,Asset_16,0.031333
2019-01-09,5,Asset_17,Asset_16,0.031333
2019-01-10,1,Asset_0,Asset_16,0.031292
2019-01-10,2,Asset_3,Asset_16,0.031292
2019-01-10,3,Asset_17,Asset_15,0.031292
2019-01-10,4,Asset_17,Asset_16,0.031292
2019-01-10,5,Asset_21,Asset_15,0.031292
2019-01-11,1,Asset_0,Asset_19,0.031306
2019-01-11,2,Asset_1,Asset_19,0.031306
2019-01-11,3,Asset_2,Asset_19,0.031306
2019-01-11,4,Asset_3,Asset_19,0.031306
2019-01-11,5,Asset_4,Asset_19,0.031306
2019-01-14,1,Asset_0,Asset_19,0.031265
2019-01-14,2,Asset_2,Asset_19,0.031265
2019-01-14,3,Asset_3,Asset_19,0.031265
2019-01-14,4,Asset_4,Asset_19,0.031265
2019-01-14,5,Asset_6,Asset_19,0.031265
2019-01-15,1,Asset_0,Asset_12,0.031272
2019-01-15,2,Asset_1,Asset_12,0.031272
2019-01-15,3,Asset_2,Asset_12,0.031272
2019-01-15,4,Asset_4,Asset_12,0.031272
2019-01-15,5,Asset_5,Asset_12,0.031272
2019-01-16,1,Asset_0,Asset_23,0.03126
2019-01-16,2,Asset_1,Asset_23,0.03126
2019-01-16,3,Asset_2,Asset_23,0.03126
2019-01-16,4,Asset_5,Asset_23,0.03126
2019-01-16,5,Asset_6,Asset_23,0.03126
2019-01-17,1,Asset_1,Asset_5,0.031271
2019-01-17,2,Asset_2,Asset_5,0.031271
2019-01-17,3,Asset_9,Asset_5,0.031271
2019-01-17,4,Asset_11,Asset_5,0.031271
2019-01-17,5,Asset_13,Asset_5,0.031271
2019-01-18,1,Asset_0,Asset_12,0.031274
2019-01-18,2,Asset_1,Asset_12,0.031274
2019-01-18,3,Asset_2,Asset_12,0.031274
2019-01-18,4,Asset_3,Asset_12,0.031274
2019-01-18,5,Asset_4,Asset_12,0.031274
2019-01-21,1,Asset_0,Asset_12,0.031304
2019-01-21,2,Asset_4,Asset_12,0.031304
2019-01-21,3,Asset_6,Asset_12,0.031304
2019-01-21,4,Asset_9,Asset_12,0.031304
2019-01-21,5,Asset_17,Asset_12,0.031304
2019-01-22,1,Asset_4,Asset_12,0.031284
2019-01-22,2,Asset_16,Asset_12,0.031284
2019-01-22,3,Asset_13,Asset_12,0.031284
2019-01-22,4,Asset_15,Asset_12,0.031284
2019-01-22,5,Asset_19,Asset_12,0.031284
2019-01-23,1,Asset_14,Asset_12,0.031313
2019-01-23,2,Asset_22,Asset_12,0.031313
2019-01-23,3,Asset_25,Asset_12,0.031313
2019-01-23,4,Asset_28,Asset_12,0.031313
2019-01-23,5,Asset_0,Asset_12,0.031313
2019-01-24,1,Asset_3,Asset_25,0.031322
2019-01-24,2,Asset_4,Asset_25,0.031322
2019-01-24,3,Asset_23,Asset_25,0.031322
2019-01-24,4,Asset_0,Asset_25,0.031322
2019-01-24,5,Asset_1,Asset_25,0.031322
2019-01-25,1,Asset_1,Asset_30,0.03134
2019-01-25,2,Asset_2,Asset_30,0.03134
2019-01-25,3,Asset_3,Asset_30,0.03134
2019-01-25,4,Asset_4,Asset_30,0.03134
2019-01-25,5,Asset_5,Asset_30,0.03134
2019-01-28,1,Asset_0,Asset_28,0.031321
2019-01-28,2,Asset_1,Asset_28,0.031321
2019-01-28,3,Asset_2,Asset_28,0.031321
2019-01-28,4,Asset_3,Asset_28,0.031321
2019-01-28,5,Asset_4,Asset_28,0.031321
2019-01-29,1,Asset_12,Asset_16,0.031285
2019-01-29,2,Asset_0,Asset_16,0.031285
2019-01-29,3,Asset_1,Asset_16,0.031285
2019-01-29,4,Asset_2,Asset_16,0.031285
2019-01-29,5,Asset_3,Asset_16,0.031285
2019-01-30,1,Asset_15,Asset_16,0.031299
2019-01-30,2,Asset_0,Asset_16,0.031299
2019-01-30,3,Asset_3,Asset_16,0.031299
2019-01-30,4,Asset_4,Asset_16,0.031299
2019-01-30,5,Asset_7,Asset_16,0.031299
2019-01-31,1,Asset_3,Asset_28,0.031292
2019-01-31,2,Asset_6,Asset_28,0.031292
2019-01-31,3,Asset_7,Asset_28,0.031292
2019-01-31,4,Asset_12,Asset_28,0.031292
2019-01-31,5,Asset_13,Asset_28,0.031292
2019-02-01,1,Asset_25,Asset_17,0.031283
2019-02-01,2,Asset_31,Asset_17,0.031283
2019-02-01,3,Asset_0,Asset_17,0.031283
2019-02-01,4,Asset_2,Asset_17,0.031283
2019-02-01,5,Asset_4,Asset_17,0.031283
2019-02-04,1,Asset_25,Asset_28,0.031274
2019-02-04,2,Asset_0,Asset_28,0.031274
2019-02-04,3,Asset_1,Asset_28,0.031274
